removed_index,removed_wavelength_micron,weighted_mean_ppm,weighted_mean_error_ppm,chi_square,degrees_of_freedom,reduced_chi_square,p_value
0,5.375,2764.3644651,17.1811594978,35.5738146129,25,1.42295258452,0.0783199508278
1,5.625,2743.82720257,16.8606810107,53.5088681627,25,2.14035472651,0.000769079638818
2,5.875,2727.85614783,17.1553466655,49.2242179983,25,1.96896871993,0.00265294579504
3,6.125,2744.63255487,16.6533127832,52.6964666593,25,2.10785866637,0.000977683538662
4,6.375,2744.86072313,17.2327559185,53.4978992739,25,2.13991597096,0.000771587689545
5,6.625,2735.38028189,16.6598127699,52.519080308,25,2.10076321232,0.00102995991345
6,6.875,2733.04696816,16.6544032119,50.4734833594,25,2.01893933437,0.0018623312922
7,7.125,2732.59772549,16.8018555687,51.0963874272,25,2.04385549709,0.00155757041256
8,7.375,2738.8259098,16.6808301791,54.040954756,25,2.16163819024,0.00065639218366
9,7.625,2742.40525774,16.6830418064,53.8174237313,25,2.15269694925,0.000701651708117
10,7.875,2737.15451681,16.628920807,53.4612419174,25,2.1384496767,0.000780026555878
11,8.125,2737.32164045,16.5102320308,53.2614670277,25,2.13045868111,0.000827596819267
12,8.375,2741.73497448,16.4382757461,53.7820875041,25,2.15128350016,0.00070907554182
13,8.625,2745.36931587,16.5330253061,51.3537534419,25,2.05415013768,0.00144608834919
14,8.875,2744.92605951,16.4191360179,50.320926705,25,2.0128370682,0.00194520596778
15,9.125,2739.25806539,16.41847842,54.0255246029,25,2.16102098411,0.000659424011598
16,9.375,2739.32458373,16.4055677806,54.0359557105,25,2.16143822842,0.000657372961443
17,9.625,2740.14219715,16.3618125067,54.1623328777,25,2.16649331511,0.000633005948476
18,9.875,2737.59132475,16.3728962233,52.6684912746,25,2.10673965098,0.000985755606711
19,10.125,2739.71539568,16.3275359054,54.0957469137,25,2.16382987655,0.000645734159716
20,10.375,2736.69780159,16.3088770091,48.9899157264,25,1.95959662906,0.00283301320559
21,10.625,2738.57645989,16.314176567,53.1578884189,25,2.12631553676,0.000853344834397
22,10.875,2737.03042355,16.3156596302,50.305860464,25,2.01223441856,0.00195357843448
23,11.125,2741.09784272,16.2774428148,53.4749579263,25,2.13899831705,0.000776858676871
24,11.375,2740.50916014,16.2621642618,54.0053846666,25,2.16021538666,0.00066340151395
25,11.625,2740.97538201,16.2548843641,52.9540581631,25,2.11816232652,0.000906276221248
26,11.875,2740.23006241,16.2508020892,54.1496165552,25,2.16598466221,0.000635417940769
