quantity,value,unit
nir_native_points,4411,count
miri_published_bins,28,count
miri_nonoverlap_bins,27,count
primary_co2_band_excess,4.1,ppm
primary_co2_band_significance,0.18,sigma
multiverse_maximum_absolute_significance,2.258,sigma
miri_flat_model_p_value,0.00096844,p
miri_leave_one_out_max_p_value,0.07831995,p
